Kind,Name,CountLineCode,CountLineComment,CountDeclInstanceMethod,CountDeclClass
Unnamed Function,"(unnamed_function_4).Plugin.(unnamed_function_5)",6,0,,
Function,"(unnamed_function_4).b",1,0,,
Unnamed Function,"(unnamed_function_4).b.(unnamed_function_5)",1,0,,
Class Function,"(unnamed_function_4).d",1,0,1,
Unnamed Function,"(unnamed_function_42)",65,11,,
Unnamed Function,"(unnamed_function_42)",1,0,,
Function,"(unnamed_function_42).Plugin",10,0,,
Unnamed Function,"(unnamed_function_42).Plugin.(unnamed_function_43)",8,0,,
Class Function,"(unnamed_function_42).Popover",3,0,6,
Function,"(unnamed_function_42).b",1,0,,
Unnamed Function,"(unnamed_function_42).b.(unnamed_function_43)",1,0,,
Class Function,"(unnamed_function_42).c",1,0,6,
Unnamed Function,"(unnamed_function_44)",116,8,,
Unnamed Function,"(unnamed_function_44)",1,0,,
Unnamed Function,"(unnamed_function_44).(unnamed_function_49)",6,0,,
Unnamed Function,"(unnamed_function_44).(unnamed_function_49)",1,0,,
Unnamed Function,"(unnamed_function_44).(unnamed_function_49).(unnamed_function_50)",4,0,,
Unnamed Function,"(unnamed_function_44).(unnamed_function_49).(unnamed_function_50)",1,0,,
Function,"(unnamed_function_44).Plugin",9,0,,
Unnamed Function,"(unnamed_function_44).Plugin.(unnamed_function_48)",7,0,,
Class Function,"(unnamed_function_44).ScrollSpy",14,0,4,
Class Function,"(unnamed_function_44).b",1,0,4,
Function,"(unnamed_function_44).c",1,0,,
Unnamed Function,"(unnamed_function_44).c.(unnamed_function_45)",1,0,,
Unnamed Function,"(unnamed_function_51)",79,10,,
Unnamed Function,"(unnamed_function_51)",1,0,,
Unnamed Function,"(unnamed_function_51).(unnamed_function_54)",4,0,,
Unnamed Function,"(unnamed_function_51).(unnamed_function_54)",1,0,,
Function,"(unnamed_function_51).Plugin",8,0,,
Unnamed Function,"(unnamed_function_51).Plugin.(unnamed_function_53)",6,0,,
Class Function,"(unnamed_function_51).Tab",3,0,2,
Function,"(unnamed_function_51).b",1,0,,
Unnamed Function,"(unnamed_function_51).b.(unnamed_function_52)",1,0,,
Class Function,"(unnamed_function_51).c",1,0,2,
Unnamed Function,"(unnamed_function_55)",88,8,,
Unnamed Function,"(unnamed_function_55)",1,0,,
Unnamed Function,"(unnamed_function_55).(unnamed_function_57)",10,0,,
Unnamed Function,"(unnamed_function_55).(unnamed_function_57)",1,0,,
Unnamed Function,"(unnamed_function_55).(unnamed_function_57).(unnamed_function_58)",8,0,,
Unnamed Function,"(unnamed_function_55).(unnamed_function_57).(unnamed_function_58)",1,0,,
Class Function,"(unnamed_function_55).Affix",11,0,3,
Function,"(unnamed_function_55).Plugin",9,0,,
Unnamed Function,"(unnamed_function_55).Plugin.(unnamed_function_56)",7,0,,
Function,"(unnamed_function_55).b",1,0,,
Unnamed Function,"(unnamed_function_55).b.(unnamed_function_56)",1,0,,
Class Function,"(unnamed_function_55).c",1,0,3,
Unnamed Function,"(unnamed_function_6)",66,9,,
Unnamed Function,"(unnamed_function_6)",1,0,,
Unnamed Function,"(unnamed_function_6).(unnamed_function_9)",6,0,,
Unnamed Function,"(unnamed_function_6).(unnamed_function_9)",1,0,,
Class Function,"(unnamed_function_6).Button",5,0,2,
Function,"(unnamed_function_6).Plugin",10,0,,
Unnamed Function,"(unnamed_function_6).Plugin.(unnamed_function_8)",8,0,,
Function,"(unnamed_function_6).b",1,0,,
Unnamed Function,"(unnamed_function_6).b.(unnamed_function_7)",1,0,,
Class Function,"(unnamed_function_6).c",1,0,2,
File,"AbstractDAO.java",32,7,6,1
File,"AbstractEntity.java",13,2,3,1
Function,"Affix.prototype.checkPosition",32,0,,
Function,"Affix.prototype.checkPositionWithEventLoop",3,0,,
Function,"Affix.prototype.getPinnedOffset",7,0,,
Function,"Alert.prototype.close",24,2,,
Function,"Alert.prototype.close.removeElement",3,1,,
File,"AutorizadorInterceptor.java",18,1,1,1
Function,"Button.prototype.setState",18,1,,
Unnamed Function,"Button.prototype.setState.(unnamed_function_7)",9,0,,
Function,"Button.prototype.toggle",13,0,,
File,"Cardapio.java",100,0,13,1
File,"CardapioController.java",57,0,7,1
File,"CardapioControllerProduct.java",58,3,6,1
File,"CardapioDAO.java",24,0,3,1
File,"CardapioService.java",105,1,11,1
Function,"Carousel.prototype.cycle",8,0,,
Function,"Carousel.prototype.getItemIndex",4,0,,
Function,"Carousel.prototype.keydown",8,0,,
Function,"Carousel.prototype.next",4,0,,
Function,"Carousel.prototype.pause",9,0,,
Function,"Carousel.prototype.prev",4,0,,
Function,"Carousel.prototype.slide",52,2,,
Unnamed Function,"Carousel.prototype.slide.(unnamed_function_12)",8,0,,
Unnamed Function,"Carousel.prototype.slide.(unnamed_function_12).(unnamed_function_13)",2,0,,
Function,"Carousel.prototype.to",8,1,,
Unnamed Function,"Carousel.prototype.to.(unnamed_function_11)",1,0,,
File,"Categoria.java",53,0,8,1
File,"CategoriaController.java",60,0,5,1
File,"CategoriaDAO.java",29,1,3,1
File,"CategoriaService.java",75,1,10,1
File,"Cliente.java",24,0,4,1
File,"ClienteController.java",81,4,7,1
File,"ClienteDAO.java",18,0,2,1
File,"ClienteService.java",46,0,7,1
Function,"Collapse.prototype.dimension",4,0,,
Function,"Collapse.prototype.hide",25,0,,
Function,"Collapse.prototype.hide.complete",7,0,,
Function,"Collapse.prototype.show",31,0,,
Function,"Collapse.prototype.show.complete",8,0,,
Function,"Collapse.prototype.toggle",3,0,,
File,"Delivery.java",25,0,4,1
File,"DeliveryController.java",96,0,11,1
File,"DeliveryControllerProduct.java",48,0,7,1
File,"DeliveryControllerProductProduct.java",73,0,7,1
File,"DeliveryControllerProductProduct2.java",74,3,7,1
File,"DeliveryDAO.java",10,0,1,1
File,"DeliveryService.java",30,0,5,1
Function,"Dropdown.prototype.keydown",21,2,,
Function,"Dropdown.prototype.toggle",21,1,,
File,"Endereco.java",48,7,10,1
File,"Funcionario.java",55,0,11,1
File,"FuncionarioController.java",63,0,5,1
File,"FuncionarioDAO.java",22,1,2,1
File,"FuncionarioService.java",49,1,7,1
File,"Gerente.java",5,0,0,1
File,"GerenteDAO.java",12,0,1,1
File,"GerenteService.java",32,0,5,1
File,"ItemCardapio.java",89,0,15,1
File,"ItemCardapioDAO.java",20,7,2,1
File,"ItemCardapioService.java",35,0,6,1
File,"JPAUtil.java",3,6,0,1
File,"LayoutController.java",16,0,2,1
File,"Logar.java",6,0,1,1
File,"LoginController.java",29,4,3,1
File,"Mesa.java",71,1,12,1
File,"MesaController.java",79,0,6,1
File,"MesaDAO.java",29,3,3,1
File,"MesaService.java",57,6,8,1
Function,"Modal.prototype.backdrop",36,1,,
Unnamed Function,"Modal.prototype.backdrop.(unnamed_function_32)",4,0,,
Function,"Modal.prototype.backdrop.callbackRemove",4,0,,
Function,"Modal.prototype.checkScrollbar",4,0,,
Function,"Modal.prototype.enforceFocus",9,1,,
Unnamed Function,"Modal.prototype.enforceFocus.(unnamed_function_29)",5,0,,
Function,"Modal.prototype.escape",9,0,,
Unnamed Function,"Modal.prototype.escape.(unnamed_function_30)",2,0,,
Function,"Modal.prototype.hide",20,0,,
Function,"Modal.prototype.hideModal",7,0,,
